iter,x_n,y_n,x_next,y_next,error_norm
131,2.616947547,5.452063796,2.616947547,1.301271973,4.150791823
132,2.616947547,1.301271973,2.568003019,5.081988754,3.781033582
133,2.568003019,5.081988754,2.568003019,1.419616552,3.662372202
134,2.568003019,1.419616552,2.520797574,4.775173612,3.355889083
135,2.520797574,4.775173612,2.520797574,1.535902192,3.23927142
136,2.520797574,1.535902192,2.475540644,4.518396213,2.98283737
137,2.475540644,4.518396213,2.475540644,1.649476402,2.868919812
138,2.475540644,1.649476402,2.432417342,4.301874578,2.652748708
139,2.432417342,4.301874578,2.432417342,1.759701195,2.542173383
140,2.432417342,1.759701195,2.391583638,4.118204577,2.358856841
141,2.391583638,4.118204577,0.388547702,1.865971396,3.014084814
142,0.388547702,1.865971396,3.045485364,17.95243535,16.30440555
143,3.045485364,17.95243535,3.045485364,0.34540925,17.6070261
144,3.045485364,0.34540925,2.991331005,13.71571645,13.37041687
145,2.991331005,13.71571645,2.991331005,0.459363483,13.25635297
146,2.991331005,0.459363483,2.936986852,11.12776005,10.66853498
147,2.936986852,11.12776005,2.936986852,0.575488695,10.55227135
148,2.936986852,0.575488695,2.882671897,9.389504009,8.814182666
149,2.882671897,9.389504009,2.882671897,0.693425781,8.696078228
150,2.882671897,0.693425781,2.828618212,8.14663132,7.453401547
151,2.828618212,8.14663132,2.828618212,0.812763186,7.333868134
152,2.828618212,0.812763186,2.775068152,7.217939768,6.405400429
153,2.775068152,7.217939768,2.775068152,0.933037009,6.28490276
154,2.775068152,0.933037009,2.722270874,6.501117152,5.568330453
155,2.722270874,6.501117152,2.722270874,1.053732878,5.447384274
156,2.722270874,1.053732878,2.670478174,5.934014402,4.880556345
157,2.670478174,5.934014402,2.670478174,1.174290024,4.759724378
158,2.670478174,1.174290024,2.619939717,5.476689288,4.302696081
159,2.619939717,5.476689288,2.619939717,1.294107869,4.182581419
160,2.619939717,1.294107869,2.57089778,5.102290263,3.808498163
161,2.57089778,5.102290263,2.57089778,1.412555382,3.68973488
162,2.57089778,1.412555382,2.523581681,4.792087913,3.379863746
163,2.523581681,4.792087913,2.523581681,1.528983253,3.26310466
164,2.523581681,1.528983253,2.478202145,4.532607681,3.003967211
165,2.478202145,4.532607681,2.478202145,1.642738678,2.889869003
166,2.478202145,1.642738678,2.43494589,4.313895524,2.671507065
167,2.43494589,4.313895524,2.43494589,1.75318229,2.560713234
168,2.43494589,1.75318229,2.393970758,4.128426802,2.375597915
169,2.393970758,4.128426802,0.341565456,1.859706416,3.059323408
170,0.341565456,1.859706416,3.060194198,19.61705842,17.96425597
171,3.060194198,19.61705842,3.060194198,0.314750144,19.30230828
172,3.060194198,0.314750144,3.006127648,14.65450201,14.33985379
173,3.006127648,14.65450201,3.006127648,0.42805676,14.22644525
174,3.006127648,0.42805676,2.951814144,11.72747863,11.29955241
175,2.951814144,11.72747863,2.951814144,0.543623331,11.1838553
176,2.951814144,0.543623331,2.897468716,9.803879218,9.260415353
177,2.897468716,9.803879218,2.897468716,0.66110488,9.142774338
178,2.897468716,0.66110488,2.843320118,8.448709946,7.787793316
179,2.843320118,8.448709946,2.843320118,0.780104213,7.668605734
180,2.843320118,0.780104213,2.789608216,7.446835469,6.666947624
181,2.789608216,7.446835469,2.789608216,0.900171598,6.546663872
182,2.789608216,0.900171598,2.736580698,6.679652336,5.779724
183,2.736580698,6.679652336,2.736580698,1.020806125,5.658846211
184,2.736580698,1.020806125,2.684489088,6.076399522,5.055861759
185,2.684489088,6.076399522,2.684489088,1.141459136,4.934940386
186,2.684489088,1.141459136,2.633584137,5.592235507,4.451067469
187,2.633584137,5.592235507,2.633584137,1.2615401,4.330695407
188,2.633584137,1.2615401,2.58411068,5.197355448,3.936126278
189,2.58411068,5.197355448,2.58411068,1.380425202,3.816930246
190,2.58411068,1.380425202,2.53630213,4.871164318,3.491066489
191,2.53630213,4.871164318,2.53630213,1.497468754,3.373695564
192,2.53630213,1.497468754,2.490374833,4.59896257,3.101833846
193,2.490374833,4.59896257,2.490374833,1.612017304,2.986945266
194,2.490374833,1.612017304,2.446522568,4.369965254,2.75829656
195,2.446522568,4.369965254,2.446522568,1.723426049,2.646539205
196,2.446522568,1.723426049,2.404911491,4.176068264,2.452995173
197,2.404911491,4.176068264,2.404911491,1.831076824,2.34499144
198,2.404911491,1.831076824,2.365675867,4.011052749,2.180328982
199,2.365675867,4.011052749,0.714947069,1.934396664,2.652810974
