iter,x_n,y_n,x_next,y_next,error_norm
0,1.5,3.5,2.036028823,2.8438751,0.84724659
1,2.036028823,2.8438751,1.998700609,3.002288563,0.162752022
2,1.998700609,3.002288563,1.999999984,2.999999413,0.00263222
3,1.999999984,2.999999413,2,3,5.87E-07
